address,lat,long,app_comment,damage,app_estimate,safe_to_live,utils_on,insured,est_home_value
"2640 Worrell Ct,Crofton,MD,21114",39.02508600000001,-76.685757,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,284000,2,3,0,392000
"2646 Lacrosse Pl,Waldorf,MD,20603",38.6440869,-76.9688917,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,170000,1,1,2,302000
"26465 3 Bridges Rd,Federalsburg,MD,21632",38.7241,-75.788303,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,16000,1,2,1,399000
"26467 Quantico Creek Rd,Hebron,MD,21830",38.4016824,-75.6954636,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,51000,2,2,2,587000
"4114 Leisure Dr,Temple Hills,MD,20748",38.826664,-76.93576399999999,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,199000,1,1,2,593000
"4114 Windridge Rd,Pikesville,MD,21208",39.3759323,-76.7595094,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",0,44000,1,3,0,326000
"4115 Holbrook Rd,Randallstown,MD,21133",39.385402,-76.8513059,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,263000,1,2,2,363000
"4117 Murphys Run Ct,Hampstead,MD,21074",39.6271965,-76.8549116,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,41000,2,1,0,540000
"412 Cedar Springs Rd,Bel Air,MD,21015",39.500585,-76.33932949999999,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,29000,1,2,2,567000
"412 Chesapeake Ave,Annapolis,MD,21403",38.9700901,-76.4819726,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,99000,1,2,2,410000
"412 Valley Meadow Cir,Reisterstown,MD,21136",39.4643168,-76.81184979999999,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,296000,2,1,0,452000
"4120 Trentham Dr,Pikesville,MD,21208",39.376299,-76.740521,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,246000,2,1,1,486000
"4121 Bedford Rd,Gwynn Oak,MD,21207",39.3552537,-76.7307643,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,172000,2,2,2,476000
"6201 Church Dr,Brandywine, MD, 20613",38.6923749,-76.8997708,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,168000,2,3,0,444000
"12027 Infantry Ln,Bristow,MD,20136",38.721674,-77.5544859,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,68000,2,2,1,501000
"7059 Courtyard Way,Haymarket,MD,20169",38.824398,-77.63480899999999,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,70000,1,1,1,495000
"38527 Ditchling Pl,Hamilton,MD,20158",39.1525018,-77.6708147,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,24000,1,3,2,403000
"20935 Sandian Ter,Sterling,MD,20165",39.0361649,-77.404918,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,18000,1,3,2,586000
"20935 Sandian Ter,Sterling,MD,20165",39.0361649,-77.404918,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,196000,1,2,2,445000
"806 N Watford St,Sterling,MD,20164",39.0138182,-77.3974166,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,70000,2,3,2,530000
"806 N Watford St,Sterling,MD,20164",39.0138182,-77.3974166,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,248000,1,2,2,498000
"10 Deerfield Dr,Luray,MD,22835",38.6632774,-78.43538199999999,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,193000,1,1,1,567000
"401 Joseph Topping Dr,Poquoson,MD,23662",37.1196901,-76.3817579,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,57000,2,1,2,590000
"11876 N Valley Pike,Broadway,MD,22815",38.5764128,-78.7323652,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,165000,1,3,2,541000
"103 Cross Creek Ln,Mouth Of Wilson,MD,24363",36.5762,-81.3059614,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,163000,1,3,2,348000
"4027 Baptist Valley Rd,Cedar Bluff,MD,24609",37.126434,-81.629221,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,176000,2,3,1,484000
"12110 Monument Dr,Fairfax,MD,22033",38.8627991,-77.366939,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,246000,2,2,2,581000
"12110 Monument Dr,Fairfax,MD,22033",38.8627991,-77.366939,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,25000,2,1,2,525000
"10809 King William Rd,Aylett,MD,23009",37.7604663,-77.1450268,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",0,134000,2,2,1,569000
"2 Willow Ln,Stafford,MD,22554",38.4232188,-77.4160924,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,279000,2,3,2,318000
"2 Willow Ln,Stafford,MD,22554",38.4232188,-77.4160924,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",0,194000,2,2,1,540000
"913 Roberval Dr,Virginia Beach,MD,23454",36.7731488,-75.9836732,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,58000,1,3,2,373000
"913 Roberval Dr,Virginia Beach,MD,23454",36.7731488,-75.9836732,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,222000,1,3,1,313000
"257 Grimes Golden Rd,Linden,MD,22642",38.9247321,-78.1141473,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,87000,2,3,1,423000
"8725 John J Kingman Rd,Fort Belvoir,MD,22060",38.7192107,-77.1630271,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,77000,1,3,0,517000
"7328 Poplar Ct,Falls Church,MD,22042",38.8728861,-77.1970175,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,67000,2,1,1,301000
"25 Golden Acres Ln,Bland,MD,24315",37.1482209,-80.9589847,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,65000,2,2,2,420000
"25 Kemp Dr,Pamplin,MD,23958",37.2741027,-78.5262195,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,281000,1,2,2,505000
"25 King Georges Grant,Fredericksburg,MD,22405",38.3286193,-77.4083536,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,264000,1,2,2,436000
"25 Kingscote Dr,Lottsburg,MD,22511",38.0001523,-76.489098,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,211000,2,1,1,467000
"25 Knightsbridge Way,Stafford,MD,22554",38.4445914,-77.39333580000002,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",0,194000,1,1,2,451000
"25 Lexington Ave,Pulaski,MD,24301",37.0449421,-80.77861419999999,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,277000,1,3,2,307000
"25 Lucas Dr,Hampton,MD,23669",37.0410563,-76.34465510000001,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,172000,1,2,0,405000
"25 Monroe St SE,Leesburg,MD,20175",39.1090441,-77.5645644,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,300000,1,3,2,541000
"800 Southern Ave SE,Washington,DC,20032",38.8273127,-76.9947723,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,59000,2,2,0,556000
"829 Quincy St NW #210,Washington,DC,20011",38.9379143,-77.0251859,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,84000,2,1,1,575000
"857 50th Pl NE,Washington,DC,20019",38.9016445,-76.9273718,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,127000,1,2,0,504000
"76 New York Ave NW,Washington,DC,20001",38.9062207,-77.0116994,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,77000,2,3,2,593000
"608 Rhode Island Ave NE,Washington,DC,20002",38.92123309999999,-76.9981919,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,186000,1,1,2,306000
"6200 Oregon Ave NW,Washington,DC,20015",38.9709327,-77.0552771,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,148000,1,1,0,559000
"631 Elliott St NE,Washington,DC,20002",38.89823380000001,-76.9862002,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,158000,1,1,2,421000
"441 Jefferson St NW,Washington,DC,20011",38.955715,-77.01914099999999,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,133000,2,3,1,595000
"8015 Corporate Dr #A,Nottingham,MD,21236",39.3672796,-76.4694426,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,60000,2,1,2,531000
"6812 Lenbern Rd,Gwynn Oak,MD,21207",39.3240416,-76.7429946,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,147000,2,3,2,526000
"6732 Townbrook Dr,Gwynn Oak,MD,21207",39.3345119,-76.7308707,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,53000,2,1,2,541000
"2600 Essex Rd #201,Gwynn Oak,MD,21207",39.3265948,-76.730879,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",2,227000,1,3,1,444000
"5013 Gwynn Oak Ave,Gwynn Oak,MD,21207",39.3302095,-76.70016729999999,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,252000,2,1,2,569000
"1220 Governor Bridge Rd,Davidsonville,MD,21035",38.94677,-76.6487842,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,221000,1,2,2,454000
"3764 Colliers Dr,Edgewater,MD,21037",38.9169078,-76.5417107,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",3,138000,1,2,2,537000
"852 Clamshell Ct,Edgewater,MD,21037",38.9100832,-76.5241425,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,254000,1,1,1,442000
"3247 Escapade Cir,Riva,MD,21140",38.94245,-76.58775,"Lorem ipsum dolor sit amet, consectetur adipiscing elit, sed do eiusmod tempor incididunt ut labore et dolore magna aliqua. Ut enim ad minim veniam, quis nostrud exercitation ullamco laboris nisi ut aliquip ex ea commodo consequat.",1,42000,2,1,2,350000
